http://purl.obolibrary.org/obo/NCI#_C12853 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12233 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32698 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32242 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13255 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C12431 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13197 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C25399 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12373 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32628 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12439 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_59756 0 CLASS_CHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/UWDA_7563 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C32881 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C12692 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C49311 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_59862 0 CLASS_CHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C62484 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_16202 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C53175 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12718 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33199 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12472 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33301 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_13423 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12971 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_49179 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C49594 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12292 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12417 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_75150 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33184 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C12670 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12858 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12799 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13046 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C77641 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C449 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C12285 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C12784 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C25975 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C33529 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32705 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_54879 0 CLASS_CHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C12270 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/UWDA_14544 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_62972 0 CLASS_CHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C33162 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12835 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C33727 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13351 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12777 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32346 0 CLASS_CHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C33049 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33548 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C687 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C49264 0 CLASS_CHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/UWDA_66938 0 CLASS_CHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C52814 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12813 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_76499 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12256 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12814 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33581 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12755 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C77613 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13018 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/UWDA_54541 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13337 0 CLASS_CHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C32765 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_15717 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/UWDA_14541 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C71762 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_7310 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C12748 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_16027 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_73023 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_7131 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C36287 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C32302 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C12796 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32801 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C63705 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32742 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C13190 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33504 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_15900 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/NCI#_C32244 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/UWDA_71446 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32621 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C12432 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C17343 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32123 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C61563 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33446 0 CLASS_CHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C48353 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C12374 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12480 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C32735 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C73439 1 CLASS_NOCHANGE DETAILS:  Modified Deleted
http://purl.obolibrary.org/obo/UWDA_15621 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33724 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32900 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12711 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C33104 1 CLASS_NOCHANGE DETAILS:  Modified Added
http://purl.obolibrary.org/obo/NCI#_C12425 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C25264 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32677 0 CLASS_CHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C32057 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C52745 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
http://purl.obolibrary.org/obo/NCI#_C12367 1 CLASS_NOCHANGE DETAILS:  Modified Superclass changed
http://purl.obolibrary.org/obo/NCI#_C13234 1 CLASS_NOCHANGE DETAILS:  Modified Deleted Added
